split,scan_id,mouse_id,timepoint,baseline_dice,shape_and_spacing_group
train,POLYIC_20190510_mouse30__E2_P1,mouse-30,20190510,0.8976460651829608,35 slices; 0.10000000149011612x0.10000000149011612x0.4000001549720764 mm
test,POLYIC_20190517_mouse37__E3_P1,mouse-37,20190517,0.9201906588337685,43 slices; 0.0703125x0.0703125x0.3000001907348633 mm
test,POLYIC_20190517_mouse38__E3_P1,mouse-38,20190517,0.9025916281556894,35 slices; 0.10000000149011612x0.10000000149011612x0.40000012516975403 mm
test,POLYIC_20190517_mouse39__E12_P1,mouse-39,20190517,0.9230808187126315,43 slices; 0.0703125x0.0703125x0.3000001907348633 mm
test,POLYIC_20190517_mouse42__E4_P1,mouse-42,20190517,0.8932941222035641,35 slices; 0.10000000149011612x0.10000000149011612x0.39999979734420776 mm
test,POLYIC_20190517_mouse43__E3_P1,mouse-43,20190517,0.8655824344118395,35 slices; 0.10000000149011612x0.10000000149011612x0.399999737739563 mm
test,POLYIC_20190524_polyic___E3_P1,anonymous-POLYIC_20190524_polyic___E3_P1,20190524,0.8014522711688036,37 slices; 0.10000000149011612x0.10000000149011612x0.39999961853027344 mm
test,POLYIC_20190524_polyic___E3_P1_1,anonymous-POLYIC_20190524_polyic___E3_P1_1,20190524,0.9025755967475514,36 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190524_polyic___E3_P1_10,anonymous-POLYIC_20190524_polyic___E3_P1_10,20190524,0.9367209107893604,36 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190524_polyic___E3_P1_12,anonymous-POLYIC_20190524_polyic___E3_P1_12,20190524,0.8957296051470276,36 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190524_polyic___E3_P1_13,anonymous-POLYIC_20190524_polyic___E3_P1_13,20190524,0.8381634160587875,36 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190524_polyic___E3_P1_3,anonymous-POLYIC_20190524_polyic___E3_P1_3,20190524,0.8229164681692164,36 slices; 0.10000000149011612x0.10000000149011612x0.39999961853027344 mm
test,POLYIC_20190524_polyic___E3_P1_4,anonymous-POLYIC_20190524_polyic___E3_P1_4,20190524,0.8593083000939403,36 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190524_polyic___E3_P1_5,anonymous-POLYIC_20190524_polyic___E3_P1_5,20190524,0.8520947292431627,36 slices; 0.10000000149011612x0.10000000149011612x0.40000057220458984 mm
test,POLYIC_20190524_polyic___E3_P1_6,anonymous-POLYIC_20190524_polyic___E3_P1_6,20190524,0.903474421583558,36 slices; 0.10000000149011612x0.10000000149011612x0.39999961853027344 mm
test,POLYIC_20190524_polyic___E3_P1_7,anonymous-POLYIC_20190524_polyic___E3_P1_7,20190524,0.8667912563313193,36 slices; 0.10000000149011612x0.10000000149011612x0.39999961853027344 mm
test,POLYIC_20190524_polyic___E3_P1_9,anonymous-POLYIC_20190524_polyic___E3_P1_9,20190524,0.8899559957882295,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190524_polyic___E4_P1_1,anonymous-POLYIC_20190524_polyic___E4_P1_1,20190524,0.8954594404291416,36 slices; 0.10000000149011612x0.10000000149011612x0.39999961853027344 mm
test,POLYIC_20190524_polyic___E4_P1_7,anonymous-POLYIC_20190524_polyic___E4_P1_7,20190524,0.9028024514053566,36 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190524_polyic___E4_P1_9,anonymous-POLYIC_20190524_polyic___E4_P1_9,20190524,0.8672461054546619,39 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190524_polyic___E8_P1_1,anonymous-POLYIC_20190524_polyic___E8_P1_1,20190524,0.8561167105077705,36 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190524_polyic___E9_P1_1,anonymous-POLYIC_20190524_polyic___E9_P1_1,20190524,0.853601330412462,36 slices; 0.10000000149011612x0.10000000149011612x0.40000057220458984 mm
test,POLYIC_20190531_polyic_m__E3_P1,anonymous-POLYIC_20190531_polyic_m__E3_P1,20190531,0.8879948668130521,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190531_polyic_m__E3_P1_1,anonymous-POLYIC_20190531_polyic_m__E3_P1_1,20190531,0.8880686261979555,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190531_polyic_m__E3_P1_10,anonymous-POLYIC_20190531_polyic_m__E3_P1_10,20190531,0.8216665846775607,38 slices; 0.10000000149011612x0.10000000149011612x0.40000003576278687 mm
test,POLYIC_20190531_polyic_m__E3_P1_11,anonymous-POLYIC_20190531_polyic_m__E3_P1_11,20190531,0.888286634090586,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190531_polyic_m__E3_P1_12,anonymous-POLYIC_20190531_polyic_m__E3_P1_12,20190531,0.8715005599155535,38 slices; 0.10000000149011612x0.10000000149011612x0.39999961853027344 mm
test,POLYIC_20190531_polyic_m__E3_P1_13,anonymous-POLYIC_20190531_polyic_m__E3_P1_13,20190531,0.895365632731275,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190531_polyic_m__E3_P1_2,anonymous-POLYIC_20190531_polyic_m__E3_P1_2,20190531,0.8399046274892519,38 slices; 0.10000000149011612x0.10000000149011612x0.39999985694885254 mm
test,POLYIC_20190531_polyic_m__E3_P1_3,anonymous-POLYIC_20190531_polyic_m__E3_P1_3,20190531,0.8483967730572765,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190531_polyic_m__E3_P1_4,anonymous-POLYIC_20190531_polyic_m__E3_P1_4,20190531,0.9115392909908786,38 slices; 0.10000000149011612x0.10000000149011612x0.40000057220458984 mm
test,POLYIC_20190531_polyic_m__E3_P1_5,anonymous-POLYIC_20190531_polyic_m__E3_P1_5,20190531,0.8606646695649197,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190531_polyic_m__E3_P1_6,anonymous-POLYIC_20190531_polyic_m__E3_P1_6,20190531,0.8371452548124372,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190531_polyic_m__E3_P1_7,anonymous-POLYIC_20190531_polyic_m__E3_P1_7,20190531,0.9007064443417598,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190531_polyic_m__E3_P1_8,anonymous-POLYIC_20190531_polyic_m__E3_P1_8,20190531,0.8905911643360118,38 slices; 0.10000000149011612x0.10000000149011612x0.4000000059604645 mm
test,POLYIC_20190531_polyic_m__E3_P1_9,anonymous-POLYIC_20190531_polyic_m__E3_P1_9,20190531,0.833682470885057,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190531_polyic_m__E5_P1_11,anonymous-POLYIC_20190531_polyic_m__E5_P1_11,20190531,0.9068520357533094,38 slices; 0.10000000149011612x0.10000000149011612x0.3999999761581421 mm
test,POLYIC_20190612_polyic___E10_P1_1,anonymous-POLYIC_20190612_polyic___E10_P1_1,20190612,0.9242397842802639,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190612_polyic___E12_P1,anonymous-POLYIC_20190612_polyic___E12_P1,20190612,0.8926921811378451,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190612_polyic___E3_P1,anonymous-POLYIC_20190612_polyic___E3_P1,20190612,0.871374785732806,38 slices; 0.10000000149011612x0.10000000149011612x0.40000057220458984 mm
test,POLYIC_20190612_polyic___E3_P1_1,anonymous-POLYIC_20190612_polyic___E3_P1_1,20190612,0.8952593777615728,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190612_polyic___E3_P1_2,anonymous-POLYIC_20190612_polyic___E3_P1_2,20190612,0.8839693002738596,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190612_polyic___E3_P1_3,anonymous-POLYIC_20190612_polyic___E3_P1_3,20190612,0.9101631593427122,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190612_polyic___E3_P1_4,anonymous-POLYIC_20190612_polyic___E3_P1_4,20190612,0.9076915371426076,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190614_polyic___E3_P1,anonymous-POLYIC_20190614_polyic___E3_P1,20190614,0.8887797186356754,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190614_polyic___E3_P1_1,anonymous-POLYIC_20190614_polyic___E3_P1_1,20190614,0.8188347226094709,38 slices; 0.10000000149011612x0.10000000149011612x0.39999961853027344 mm
test,POLYIC_20190614_polyic___E3_P1_3,anonymous-POLYIC_20190614_polyic___E3_P1_3,20190614,0.8665725898372554,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190614_polyic___E3_P1_4,anonymous-POLYIC_20190614_polyic___E3_P1_4,20190614,0.8920168607815886,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190614_polyic___E3_P1_5,anonymous-POLYIC_20190614_polyic___E3_P1_5,20190614,0.8626319447867614,38 slices; 0.10000000149011612x0.10000000149011612x0.40000057220458984 mm
test,POLYIC_20190614_polyic___E3_P1_6,anonymous-POLYIC_20190614_polyic___E3_P1_6,20190614,0.9172105355795749,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190614_polyic___E4_P1_5,anonymous-POLYIC_20190614_polyic___E4_P1_5,20190614,0.8561862962354027,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190618_mouse33__E3_P1,mouse-33,20190618,0.9084821428609827,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190618_mouse34__E3_P1,mouse-34,20190618,0.8868881291344682,38 slices; 0.10000000149011612x0.10000000149011612x0.4000001549720764 mm
test,POLYIC_20190618_mouse35__E3_P1,mouse-35,20190618,0.869619754441708,38 slices; 0.10000000149011612x0.10000000149011612x0.40000006556510925 mm
test,POLYIC_20190618_mouse36__E3_P1,mouse-36,20190618,0.8831596657156521,38 slices; 0.10000000149011612x0.10000000149011612x0.39999985694885254 mm
test,POLYIC_20190619_mouse38__E3_P1,mouse-38,20190619,0.862456151469967,38 slices; 0.10000000149011612x0.10000000149011612x0.3999999761581421 mm
test,POLYIC_20190619_mouse39__E3_P1,mouse-39,20190619,0.9030055575406195,38 slices; 0.10000000149011612x0.10000000149011612x0.39999982714653015 mm
test,POLYIC_20190619_mouse42__E3_P1,mouse-42,20190619,0.8617063109656615,38 slices; 0.10000000149011612x0.10000000149011612x0.3999997675418854 mm
test,POLYIC_20190619_mouse43__E3_P1,mouse-43,20190619,0.9211857018339864,38 slices; 0.10000000149011612x0.10000000149011612x0.3999999165534973 mm
test,POLYIC_20190628_mouse33__E3_P1,mouse-33,20190628,0.9201351334455213,38 slices; 0.10000000149011612x0.10000000149011612x0.4000000059604645 mm
test,POLYIC_20190628_mouse34__E6_P1,mouse-34,20190628,0.8913023840266693,38 slices; 0.10000000149011612x0.10000000149011612x0.4000002145767212 mm
test,POLYIC_20190628_mouse35__E3_P1,mouse-35,20190628,0.896309005327274,38 slices; 0.10000000149011612x0.10000000149011612x0.3999998867511749 mm
test,POLYIC_20190628_mouse36__E3_P1,mouse-36,20190628,0.9177095364570723,38 slices; 0.10000000149011612x0.10000000149011612x0.4000000059604645 mm
test,POLYIC_20190629_polyic_mo__E3_P1,anonymous-POLYIC_20190629_polyic_mo__E3_P1,20190629,0.8615285579680461,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190629_polyic_mo__E3_P1_1,anonymous-POLYIC_20190629_polyic_mo__E3_P1_1,20190629,0.9092529685430724,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190629_polyic_mo__E3_P1_2,anonymous-POLYIC_20190629_polyic_mo__E3_P1_2,20190629,0.8921688369712896,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190629_polyic_mo__E3_P1_3,anonymous-POLYIC_20190629_polyic_mo__E3_P1_3,20190629,0.8892854027435076,38 slices; 0.10000000149011612x0.10000000149011612x0.40000003576278687 mm
test,POLYIC_20190629_polyic_mo__E3_P1_5,anonymous-POLYIC_20190629_polyic_mo__E3_P1_5,20190629,0.9199641367638244,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190629_polyic_mo__E4_P1_2,anonymous-POLYIC_20190629_polyic_mo__E4_P1_2,20190629,0.8462286130899276,38 slices; 0.10000000149011612x0.10000000149011612x0.40000009536743164 mm
test,POLYIC_20190629_polyic_mo__E4_P1_4,anonymous-POLYIC_20190629_polyic_mo__E4_P1_4,20190629,0.8432240986993853,38 slices; 0.10000000149011612x0.10000000149011612x0.39999961853027344 mm
