split,subject,dice,precision,recall,false_positives,false_negatives,brain_volume_voxels,slice_count,inference_seconds,image_path,mask_path
train,005,0.9881779725037714,0.9891368728819336,0.9872209295020928,1724,2032,159010,12,0.3080958750001628,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-005/ses-1/anat/sub-005_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-005_ses-1_acq-RARE_T2w_110.nii.gz
train,088,0.9883376530896698,0.9876127513928653,0.9890636197153808,3116,2747,251180,64,0.2927409170001738,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-088/ses-1/anat/sub-088_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-088_ses-1_acq-RARE_T2w_071.nii.gz
train,125,0.9892775271763001,0.9928330612163416,0.9857473684220528,1014,2031,142500,12,0.34614345800014235,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-125/ses-1/anat/sub-125_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-125_ses-1_acq-RARE_T2w_090.nii.gz
train,120,0.9866455580989475,0.9861715351155437,0.9871200369992134,3382,3147,244333,64,0.292626749999954,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-120/ses-1/anat/sub-120_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-120_ses-1_acq-RARE_T2w_038.nii.gz
train,114,0.9861798227102959,0.9874302620461779,0.9849325463750028,2974,3574,237200,64,0.2956385830000272,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-114/ses-1/anat/sub-114_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-114_ses-1_acq-RARE_T2w_068.nii.gz
train,050,0.9858493488737841,0.9835314981952632,0.9881781501379996,3863,2760,233466,64,0.28838487500001975,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-050/ses-1/anat/sub-050_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-050_ses-1_acq-RARE_T2w_000.nii.gz
train,071,0.9865914313140857,0.9845786389898541,0.9886124700743786,3719,2735,240175,64,0.29555712499995934,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-071/ses-1/anat/sub-071_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-071_ses-1_acq-RARE_T2w_108.nii.gz
train,081,0.9879527241136205,0.9889875951739686,0.9869200165564243,2602,3097,236774,64,0.29349904099990454,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-081/ses-1/anat/sub-081_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-081_ses-1_acq-RARE_T2w_085.nii.gz
train,097,0.9902167308626617,0.993415575976336,0.9870384204916202,1226,2429,187400,12,0.2993912909998926,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-097/ses-1/anat/sub-097_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-097_ses-1_acq-RARE_T2w_065.nii.gz
train,024,0.9903898775141537,0.9924969002028117,0.9882917820874138,1416,2219,189525,12,0.3004655830000047,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-024/ses-1/anat/sub-024_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-024_ses-1_acq-RARE_T2w_017.nii.gz
train,126,0.9878584523854904,0.9915972222228058,0.9841477703505308,1210,2300,145090,12,0.29596212499996,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-126/ses-1/anat/sub-126_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-126_ses-1_acq-RARE_T2w_120.nii.gz
train,018,0.988740114241427,0.9961736738420879,0.9814166730352555,740,3648,196305,12,0.29534674999990784,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-018/ses-1/anat/sub-018_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-018_ses-1_acq-RARE_T2w_114.nii.gz
train,131,0.9876391954743599,0.9904881613982834,0.984806571650298,1347,2164,142430,12,0.2984434580000652,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-131/ses-1/anat/sub-131_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-131_ses-1_acq-RARE_T2w_001.nii.gz
train,022,0.988029104880514,0.9935326806036765,0.9825861662881062,1222,3327,191055,12,0.29655366700012564,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-022/ses-1/anat/sub-022_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-022_ses-1_acq-RARE_T2w_104.nii.gz
train,073,0.9873808067672603,0.9831212048448008,0.99167748075129,3936,1924,231180,64,0.29539441599990823,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-073/ses-1/anat/sub-073_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-073_ses-1_acq-RARE_T2w_124.nii.gz
train,023,0.9887944147827428,0.9937206512011328,0.9839167797386451,1031,2667,165825,12,0.2974750829998811,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-023/ses-1/anat/sub-023_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-023_ses-1_acq-RARE_T2w_004.nii.gz
train,021,0.9898394824663866,0.9943867121868606,0.9853336514761615,1049,2766,188595,12,0.3043248330000097,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-021/ses-1/anat/sub-021_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-021_ses-1_acq-RARE_T2w_020.nii.gz
train,063,0.9886441339734242,0.9884011516240288,0.9888872358191836,2808,2689,241974,64,0.2955567910000809,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-063/ses-1/anat/sub-063_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-063_ses-1_acq-RARE_T2w_052.nii.gz
validation,035,0.9871559293610905,0.9930896301033398,0.9812927150705635,1114,3052,163145,12,0.2948727080001845,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-035/ses-1/anat/sub-035_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-035_ses-1_acq-RARE_T2w_029.nii.gz
validation,112,0.9693569253513273,0.9728513085226749,0.9658875552761416,6827,8640,253280,64,0.2952040830000442,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-112/ses-1/anat/sub-112_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-112_ses-1_acq-RARE_T2w_002.nii.gz
validation,123,0.9892303793194481,0.9912569416232387,0.9872120864676618,1291,1896,148265,12,0.298590749999903,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-123/ses-1/anat/sub-123_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-123_ses-1_acq-RARE_T2w_023.nii.gz
validation,094,0.9882239113004205,0.9862080663897751,0.9902480140104443,3171,2233,228979,64,0.29856420800001615,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-094/ses-1/anat/sub-094_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-094_ses-1_acq-RARE_T2w_042.nii.gz
validation,109,0.9739853185770081,0.9595674497827569,0.9888430647098337,9426,2524,226227,64,0.3026935409998259,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-109/ses-1/anat/sub-109_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-109_ses-1_acq-RARE_T2w_007.nii.gz
validation,127,0.9888540345728875,0.9899442087335085,0.9877662588761115,1505,1835,149995,12,0.3064101249999567,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-127/ses-1/anat/sub-127_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-127_ses-1_acq-RARE_T2w_016.nii.gz
test,064,0.9860176322873824,0.9851064424322642,0.986930509342729,3731,3268,250048,64,0.30353220899996813,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz
test,007,0.9871740398945378,0.9927305459500863,0.9816793893140092,1276,3252,177505,12,0.3119754169999851,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz
test,043,0.9890060856958576,0.9930555555559877,0.9849895074691403,1116,2432,162020,12,0.3143492920000881,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz
test,078,0.9867738462033332,0.9839687709964889,0.989594960420239,3770,2433,233829,64,0.3083379160000277,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz
test,009,0.988808630098451,0.9921572350935461,0.9854825526573101,1239,2309,159050,12,0.3526897909998752,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz
test,099,0.9891848375874777,0.993003089062116,0.9853958371812385,1316,2768,189535,12,0.33959024999990106,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz
