subject,image_path,mask_path
20170629CH_Exp6_ZFPtm1a_M30,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170629CH_Exp6_ZFPtm1a_M30/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170629CH_Exp6_ZFPtm1a_M30/masklesion_manual.nii
20190529CH_Exp5_7753,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190529CH_Exp5_7753/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190529CH_Exp5_7753/masklesion_manual.nii
20170404CH_SC_M08,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170404CH_SC_M08/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170404CH_SC_M08/masklesion_manual.nii
20190206CH_Exp2_M36,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190206CH_Exp2_M36/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190206CH_Exp2_M36/masklesion_manual.nii
20191030CH_Exp8_M17,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191030CH_Exp8_M17/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191030CH_Exp8_M17/masklesion_manual.nii
20190129CH_Exp2_M03,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190129CH_Exp2_M03/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190129CH_Exp2_M03/masklesion_manual.nii
20180710CH_Exp8_M07,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180710CH_Exp8_M07/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180710CH_Exp8_M07/masklesion_manual.nii
20170926CH_Exp8_M10,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170926CH_Exp8_M10/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170926CH_Exp8_M10/masklesion_manual.nii
20190528CH_Exp5_7764,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190528CH_Exp5_7764/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190528CH_Exp5_7764/masklesion_manual.nii
20170714CH_Exp7_ZFPtm1a_M30,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170714CH_Exp7_ZFPtm1a_M30/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170714CH_Exp7_ZFPtm1a_M30/masklesion_manual.nii
20170627CH_Exp6_ZFPtm1a_M06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170627CH_Exp6_ZFPtm1a_M06/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170627CH_Exp6_ZFPtm1a_M06/masklesion_manual.nii
20190205CH_Exp2_M28,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190205CH_Exp2_M28/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190205CH_Exp2_M28/masklesion_manual.nii
20190206CH_Exp2_M35,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190206CH_Exp2_M35/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190206CH_Exp2_M35/masklesion_manual.nii
20170712CH_Exp7_ZFPtm1a_M02,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170712CH_Exp7_ZFPtm1a_M02/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170712CH_Exp7_ZFPtm1a_M02/masklesion_manual.nii
20190221CH_Exp1_M61,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190221CH_Exp1_M61/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190221CH_Exp1_M61/masklesion_manual.nii
20190221CH_Exp1_M59,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190221CH_Exp1_M59/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190221CH_Exp1_M59/masklesion_manual.nii
20180801CH_Exp9_M16,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180801CH_Exp9_M16/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180801CH_Exp9_M16/masklesion_manual.nii
20190130CH_Exp2_M19,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190130CH_Exp2_M19/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190130CH_Exp2_M19/masklesion_manual.nii
20190319CH_Exp4_M1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190319CH_Exp4_M1/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190319CH_Exp4_M1/masklesion_manual.nii
20190220CH_Exp1_M52,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190220CH_Exp1_M52/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190220CH_Exp1_M52/masklesion_manual.nii
20170629CH_Exp6_ZFPtm1a_M28,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170629CH_Exp6_ZFPtm1a_M28/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170629CH_Exp6_ZFPtm1a_M28/masklesion_manual.nii
200170928CH_Exp8_M33,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/200170928CH_Exp8_M33/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/200170928CH_Exp8_M33/masklesion_manual.nii
20170404CH_SC_M09,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170404CH_SC_M09/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170404CH_SC_M09/masklesion_manual.nii
20190321CH_Exp4_M25,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190321CH_Exp4_M25/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190321CH_Exp4_M25/masklesion_manual.nii
20180711CH_Exp8_M19,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180711CH_Exp8_M19/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180711CH_Exp8_M19/masklesion_manual.nii
20180803CH_Exp9_M37,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180803CH_Exp9_M37/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180803CH_Exp9_M37/masklesion_manual.nii
20190827CH_Exp14_NEX_M22,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190827CH_Exp14_NEX_M22/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190827CH_Exp14_NEX_M22/masklesion_manual.nii
20190206CH_Exp2_M37,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190206CH_Exp2_M37/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190206CH_Exp2_M37/masklesion_manual.nii
20190219CH_Exp1,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190219CH_Exp1/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190219CH_Exp1/masklesion_manual.nii
20190827CH_Exp14_NEX_M18,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190827CH_Exp14_NEX_M18/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190827CH_Exp14_NEX_M18/masklesion_manual.nii
20190221CH_Exp1_M56,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190221CH_Exp1_M56/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190221CH_Exp1_M56/masklesion_manual.nii
20180710CH_Exp8_M03,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180710CH_Exp8_M03/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180710CH_Exp8_M03/masklesion_manual.nii
20170222CH_Exp3_zfp_M04,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170222CH_Exp3_zfp_M04/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170222CH_Exp3_zfp_M04/masklesion_manual.nii
20190130_CH_Exp2_M14,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190130_CH_Exp2_M14/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190130_CH_Exp2_M14/masklesion_manual.nii
20190820CH_Exp14_Senp7_M02,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190820CH_Exp14_Senp7_M02/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190820CH_Exp14_Senp7_M02/masklesion_manual.nii
20190528CH_Exp5_7768,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190528CH_Exp5_7768/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190528CH_Exp5_7768/masklesion_manual.nii
20170921CH_Exp09_M15,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170921CH_Exp09_M15/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170921CH_Exp09_M15/masklesion_manual.nii
20170921CH_Exp09_M22,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170921CH_Exp09_M22/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170921CH_Exp09_M22/masklesion_manual.nii
20190221CH_Exp1_M54,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190221CH_Exp1_M54/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190221CH_Exp1_M54/masklesion_manual.nii
20181023CH_Exp13_M01,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20181023CH_Exp13_M01/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20181023CH_Exp13_M01/masklesion_manual.nii
20170926CH_Exp8_M01,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170926CH_Exp8_M01/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170926CH_Exp8_M01/masklesion_manual.nii
20170926CH_Exp8_M08,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170926CH_Exp8_M08/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170926CH_Exp8_M08/masklesion_manual.nii
20190528CH_Exp5_7765,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190528CH_Exp5_7765/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190528CH_Exp5_7765/masklesion_manual.nii
20170928CH_Exp8_M26,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170928CH_Exp8_M26/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170928CH_Exp8_M26/masklesion_manual.nii
20190820CH_Exp14_Senp7_M14,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190820CH_Exp14_Senp7_M14/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190820CH_Exp14_Senp7_M14/masklesion_manual.nii
20180801CH_Exp9_M19,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180801CH_Exp9_M19/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180801CH_Exp9_M19/masklesion_manual.nii
20170404CH_SC_M07,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170404CH_SC_M07/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170404CH_SC_M07/masklesion_manual.nii
20191029CH_Exp8_M01,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191029CH_Exp8_M01/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191029CH_Exp8_M01/masklesion_manual.nii
20170927CH_Exp8_M15,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170927CH_Exp8_M15/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170927CH_Exp8_M15/masklesion_manual.nii
20170222CH_Exp3_zfp_M07,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170222CH_Exp3_zfp_M07/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170222CH_Exp3_zfp_M07/masklesion_manual.nii
20170921CH_Exp09_M21,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170921CH_Exp09_M21/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170921CH_Exp09_M21/masklesion_manual.nii
20170405_CH_SC_M18,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170405_CH_SC_M18/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170405_CH_SC_M18/masklesion_manual.nii
20191030CH_Exp8_M13,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191030CH_Exp8_M13/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191030CH_Exp8_M13/masklesion_manual.nii
20170629CH_Exp6_ZFPtm1a_M29,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170629CH_Exp6_ZFPtm1a_M29/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170629CH_Exp6_ZFPtm1a_M29/masklesion_manual.nii
20190130CH_Exp2_M17,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190130CH_Exp2_M17/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190130CH_Exp2_M17/masklesion_manual.nii
20190821CH_Exp14_NEX_M06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190821CH_Exp14_NEX_M06/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190821CH_Exp14_NEX_M06/masklesion_manual.nii
20181023CH_Exp13_M04,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20181023CH_Exp13_M04/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20181023CH_Exp13_M04/masklesion_manual.nii
20170928CH_Exp8_M35,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170928CH_Exp8_M35/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170928CH_Exp8_M35/masklesion_manual.nii
20170405CH_SC_M17,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170405CH_SC_M17/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170405CH_SC_M17/masklesion_manual.nii
20180710CH_Exp8_M06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180710CH_Exp8_M06/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180710CH_Exp8_M06/masklesion_manual.nii
20180802CH_Exp9_M28,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180802CH_Exp9_M28/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180802CH_Exp9_M28/masklesion_manual.nii
20181023CH_Exp13_M02,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20181023CH_Exp13_M02/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20181023CH_Exp13_M02/masklesion_manual.nii
20191029CH_Exp8_M06,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191029CH_Exp8_M06/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20191029CH_Exp8_M06/masklesion_manual.nii
20170627CH_Exp6_ZFPtm1a_M07,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170627CH_Exp6_ZFPtm1a_M07/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170627CH_Exp6_ZFPtm1a_M07/masklesion_manual.nii
20180323CH_Exp3_Phag_M11,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180323CH_Exp3_Phag_M11/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180323CH_Exp3_Phag_M11/masklesion_manual.nii
20180802CH_Exp9_M24,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180802CH_Exp9_M24/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20180802CH_Exp9_M24/masklesion_manual.nii
20190129CH_Exp2_M09,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190129CH_Exp2_M09/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190129CH_Exp2_M09/masklesion_manual.nii
20170920CH_Exp09_M08,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170920CH_Exp09_M08/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20170920CH_Exp09_M08/masklesion_manual.nii
20190820CH_Exp14_Senp7_M10,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190820CH_Exp14_Senp7_M10/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190820CH_Exp14_Senp7_M10/masklesion_manual.nii
20181024CH_Exp13_M18,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20181024CH_Exp13_M18/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20181024CH_Exp13_M18/masklesion_manual.nii
20190319CH_Exp4_M9,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190319CH_Exp4_M9/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190319CH_Exp4_M9/masklesion_manual.nii
20190130CH_Exp2_M15,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190130CH_Exp2_M15/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190130CH_Exp2_M15/masklesion_manual.nii
20190821CH_Exp4_NEX_M03,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190821CH_Exp4_NEX_M03/t2.nii,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/data_repository/data_charite/20190821CH_Exp4_NEX_M03/masklesion_manual.nii
